locale	current_slug	en_slug	reason	path
de	feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars	feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars	identical-to-en	content/posts/de/feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars.mdx
de	google-shopping-quality-score-reverse-engineering-des-2026-feed-ranking-algorithmus	google-shopping-quality-score-reverse-engineering-the-2026-feed-ranking-algorith	shares-5-en-content-tokens	content/posts/de/google-shopping-quality-score-reverse-engineering-des-2026-feed-ranking-algorithmus.mdx
de	multi-currency-feed-ops-google-shopping-auf-12-markte-skalieren	multi-currency-feed-ops-scaling-google-shopping-to-12-markets	shares-3-en-content-tokens	content/posts/de/multi-currency-feed-ops-google-shopping-auf-12-markte-skalieren.mdx
de	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	identical-to-en	content/posts/de/return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns.mdx
de	shopping-feed-a-b-testing-real-split-test-framework-for-2026	shopping-feed-a-b-testing-real-split-test-framework-for-2026	identical-to-en	content/posts/de/shopping-feed-a-b-testing-real-split-test-framework-for-2026.mdx
de	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	identical-to-en	content/posts/de/shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms.mdx
de	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-re	shares-8-en-content-tokens	content/posts/de/shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites.mdx
de	shopping-quality-score-reverse-engineering-2026	google-shopping-quality-score-reverse-engineering-the-2026-feed-ranking-algorith	shares-4-en-content-tokens	content/posts/de/shopping-quality-score-reverse-engineering-2026.mdx
de	voice-search-shopping-feed-optimization-for-gemini-sge-2026	voice-search-shopping-feed-optimization-for-gemini-sge-2026	identical-to-en	content/posts/de/voice-search-shopping-feed-optimization-for-gemini-sge-2026.mdx
de	zero-click-shopping-das-knowledge-panel-gewinnen	zero-click-shopping-optimizing-feeds-for-google-s-product-knowledge-panel	shares-4-en-content-tokens	content/posts/de/zero-click-shopping-das-knowledge-panel-gewinnen.mdx
de	zero-click-shopping-feeds-fur-googles-produkt-wissens-panel-optimieren	zero-click-shopping-optimizing-feeds-for-google-s-product-knowledge-panel	shares-3-en-content-tokens	content/posts/de/zero-click-shopping-feeds-fur-googles-produkt-wissens-panel-optimieren.mdx
es	feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars	feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars	identical-to-en	content/posts/es/feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars.mdx
es	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	identical-to-en	content/posts/es/return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns.mdx
es	shopping-feed-a-b-testing-real-split-test-framework-for-2026	shopping-feed-a-b-testing-real-split-test-framework-for-2026	identical-to-en	content/posts/es/shopping-feed-a-b-testing-real-split-test-framework-for-2026.mdx
es	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	identical-to-en	content/posts/es/shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms.mdx
es	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-re	shares-8-en-content-tokens	content/posts/es/shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites.mdx
es	voice-search-shopping-feed-optimization-for-gemini-sge-2026	voice-search-shopping-feed-optimization-for-gemini-sge-2026	identical-to-en	content/posts/es/voice-search-shopping-feed-optimization-for-gemini-sge-2026.mdx
fr	encheres-vs-segmentation-de-flux-test-roi-90-jours	google-shopping-bid-modifiers-vs-feed-segmentation-roi-test	shares-3-en-content-tokens	content/posts/fr/encheres-vs-segmentation-de-flux-test-roi-90-jours.mdx
fr	feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars	feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars	identical-to-en	content/posts/fr/feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars.mdx
fr	modificateurs-d-encheres-google-shopping-vs-segmentation-de-flux-test-roi	google-shopping-bid-modifiers-vs-feed-segmentation-roi-test	shares-3-en-content-tokens	content/posts/fr/modificateurs-d-encheres-google-shopping-vs-segmentation-de-flux-test-roi.mdx
fr	quality-score-google-shopping-reverse-engineering-2026	google-shopping-quality-score-reverse-engineering-the-2026-feed-ranking-algorith	shares-4-en-content-tokens	content/posts/fr/quality-score-google-shopping-reverse-engineering-2026.mdx
fr	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	identical-to-en	content/posts/fr/return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns.mdx
fr	score-de-qualite-google-shopping-reverse-engineering-de-l-algorithme-de-classement-des-flux-2026	google-shopping-quality-score-reverse-engineering-the-2026-feed-ranking-algorith	shares-3-en-content-tokens	content/posts/fr/score-de-qualite-google-shopping-reverse-engineering-de-l-algorithme-de-classement-des-flux-2026.mdx
fr	shopping-feed-a-b-testing-real-split-test-framework-for-2026	shopping-feed-a-b-testing-real-split-test-framework-for-2026	identical-to-en	content/posts/fr/shopping-feed-a-b-testing-real-split-test-framework-for-2026.mdx
fr	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	identical-to-en	content/posts/fr/shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms.mdx
fr	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-re	shares-8-en-content-tokens	content/posts/fr/shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites.mdx
fr	shopping-zero-clic-gagner-le-knowledge-panel-produit	zero-click-shopping-optimizing-feeds-for-google-s-product-knowledge-panel	shares-3-en-content-tokens	content/posts/fr/shopping-zero-clic-gagner-le-knowledge-panel-produit.mdx
